código;descrição
10996;Fabricação de Produtos Alimentícios não Especificados Anteriormente
11119;Fabricação de Aguardentes e Outras Bebidas Destiladas
11127;Fabricação de Vinho
11135;Fabricação de Malte, Cervejas e Chopes
11216;Fabricação de águas Envasadas
11224;Fabricação de Refrigerantes e de Outras Bebidas Não-Alcoólicas
12107;Processamento Industrial do Fumo
12204;Fabricação de Produtos do Fumo
13111;Preparação e Fiação de Fibras de Algodão
13120;Preparação e Fiação de Fibras Têxteis Naturais, Exceto Algodão
13138;Fiação de Fibras Artificiais e Sintéticas
13146;Fabricação de Linhas para Costurar e Bordar
13219;Tecelagem de Fios de Algodão
13227;Tecelagem de Fios de Fibras Têxteis Naturais, Exceto Algodão
13235;Tecelagem de Fios de Fibras Artificiais e Sintéticas
13308;Fabricação de Tecidos de Malha
13405;Acabamentos em Fios, Tecidos e Artefatos Têxteis
13511;Fabricação de Artefatos Têxteis para Uso Doméstico
13529;Fabricação de Artefatos de Tapeçaria
13537;Fabricação de Artefatos de Cordoaria
13545;Fabricação de Tecidos Especiais, Inclusive Artefatos
13596;Fabricação de Outros Produtos Têxteis não Especificados Anteriormente
14118;Confecção de Roupas íntimas
14126;Confecção de Peças do Vestuário, Exceto Roupas íntimas
14134;Confecção de Roupas Profissionais
14142;Fabricação de Acessórios do Vestuário, Exceto para Segurança e Proteção
14215;Fabricação de Meias
14223;Fabricação de Artigos do Vestuário, Produzidos em Malharias e Tricotagens, Exceto Meias
15106;Curtimento e Outras Preparações de Couro
15211;Fabricação de Artigos para Viagem, Bolsas e Semelhantes de Qualquer Material
15297;Fabricação de Artefatos de Couro não Especificados Anteriormente
15319;Fabricação de Calçados de Couro
15327;Fabricação de Tênis de Qualquer Material
15335;Fabricação de Calçados de Material Sintético
15394;Fabricação de Calçados de Materiais não Especificados Anteriormente
15408;Fabricação de Partes para Calçados, de Qualquer Material
16102;Desdobramento de Madeira
16218;Fabricação de Madeira Laminada e de Chapas de Madeira Compensada, Prensada e Aglomerada
16226;Fabricação de Estruturas de Madeira e de Artigos de Carpintaria para Construção
16234;Fabricação de Artefatos de Tanoaria e de Embalagens de Madeira
16293;Fabricação de Artefatos de Madeira, Palha, Cortiça, Vime e Material Trançado não Especificados Anteriormente, Exceto Móveis
17109;Fabricação de Celulose e Outras Pastas para a Fabricação de Papel
17214;Fabricação de Papel
17222;Fabricação de Cartolina e Papel-Cartão
17311;Fabricação de Embalagens de Papel
17320;Fabricação de Embalagens de Cartolina e Papel-Cartão
17338;Fabricação de Chapas e de Embalagens de Papelão Ondulado
17419;Fabricação de Produtos de Papel, Cartolina, Papel-Cartão e Papelão Ondulado para Uso Comercial e de Escritório
17427;Fabricação de Produtos de Papel para Usos Doméstico e Higiênico-Sanitário
17494;Fabricação de Produtos de Pastas Celulósicas, Papel, Cartolina, Papel-Cartão e Papelão Ondulado não Especificados Anteriormente
18113;Impressão de Jornais, Livros, Revistas e Outras Publicações Periódicas
18121;Impressão de Material de Segurança
18130;Impressão de Materiais para Outros Usos
18211;Serviços de Pré-Impressão
18229;Serviços de Acabamentos Gráficos
18300;Reprodução de Materiais Gravados em Qualquer Suporte
19101;Coquerias
19217;Fabricação de Produtos do Refino de Petróleo
19225;Fabricação de Produtos Derivados do Petróleo, Exceto Produtos do Refino
19314;Fabricação de álcool
19322;Fabricação de Biocombustíveis, Exceto álcool
20118;Fabricação de Cloro e álcalis
20126;Fabricação de Intermediários para Fertilizantes
20134;Fabricação de Adubos e Fertilizantes
20142;Fabricação de Gases Industriais
20193;Fabricação de Produtos Químicos Inorgânicos não Especificados Anteriormente
20215;Fabricação de Produtos Petroquímicos Básicos
20223;Fabricação de Intermediários para Plastificantes, Resinas e Fibras
20291;Fabricação de Produtos Químicos Orgânicos não Especificados Anteriormente
20312;Fabricação de Resinas Termoplásticas
20321;Fabricação de Resinas Termofixas
20339;Fabricação de Elastômeros
20401;Fabricação de Fibras Artificiais e Sintéticas
20517;Fabricação de Defensivos Agrícolas
20525;Fabricação de Desinfestantes Domissanitários
20614;Fabricação de Sabões e Detergentes Sintéticos
20622;Fabricação de Produtos de Limpeza e Polimento
20631;Fabricação de Cosméticos, Produtos de Perfumaria e de Higiene Pessoal
20711;Fabricação de Tintas, Vernizes, Esmaltes e Lacas
20720;Fabricação de Tintas de Impressão
20738;Fabricação de Impermeabilizantes, Solventes e Produtos Afins
20916;Fabricação de Adesivos e Selantes
20924;Fabricação de Explosivos
20932;Fabricação de Aditivos de Uso Industrial
20941;Fabricação de Catalisadores
20991;Fabricação de Produtos Químicos não Especificados Anteriormente
21106;Fabricação de Produtos Farmoquímicos
21211;Fabricação de Medicamentos para Uso Humano
21220;Fabricação de Medicamentos para Uso Veterinário
21238;Fabricação de Preparações Farmacêuticas
22111;Fabricação de Pneumáticos e de Câmaras-De-Ar
22129;Reforma de Pneumáticos Usados
22196;Fabricação de Artefatos de Borracha não Especificados Anteriormente
22218;Fabricação de Laminados Planos e Tubulares de Material Plástico
22226;Fabricação de Embalagens de Material Plástico
22234;Fabricação de Tubos e Acessórios de Material Plástico para Uso na Construção
22293;Fabricação de Artefatos de Material Plástico não Especificados Anteriormente
23117;Fabricação de Vidro Plano e de Segurança
23125;Fabricação de Embalagens de Vidro
23192;Fabricação de Artigos de Vidro
23206;Fabricação de Cimento
23303;Fabricação de Artefatos de Concreto, Cimento, Fibrocimento, Gesso e Materiais Semelhantes
23419;Fabricação de Produtos Cerâmicos Refratários
23427;Fabricação de Produtos Cerâmicos Não-Refratários para Uso Estrutural na Construção
23494;Fabricação de Produtos Cerâmicos Não-Refratários não Especificados Anteriormente
23915;Aparelhamento e Outros Trabalhos em Pedras
23923;Fabricação de Cal e Gesso
23991;Fabricação de Produtos de Minerais Não-Metálicos não Especificados Anteriormente
24113;Produção de Ferro-Gusa
24121;Produção de Ferroligas
24211;Produção de Semi-Acabados de Aço
24229;Produção de Laminados Planos de Aço
24237;Produção de Laminados Longos de Aço
24245;Produção de Relaminados, Trefilados e Perfilados de Aço
24318;Produção de Tubos de Aço com Costura
24393;Produção de Outros Tubos de Ferro e Aço
24415;Metalurgia do Alumínio e Suas Ligas
24423;Metalurgia dos Metais Preciosos
24431;Metalurgia do Cobre
24491;Metalurgia dos Metais Não-Ferrosos e Suas Ligas não Especificados Anteriormente
24512;Fundição de Ferro e Aço
24521;Fundição de Metais Não-Ferrosos e Suas Ligas
25110;Fabricação de Estruturas Metálicas
25128;Fabricação de Esquadrias de Metal
25136;Fabricação de Obras de Caldeiraria Pesada
25217;Fabricação de Tanques, Reservatórios Metálicos e Caldeiras para Aquecimento Central
25225;Fabricação de Caldeiras Geradoras de Vapor, Exceto para Aquecimento Central e para Veículos
25314;Produção de Forjados de Aço e de Metais Não-Ferrosos e Suas Ligas
25322;Produção de Artefatos Estampados de Metal
25390;Serviços de Usinagem, Solda, Tratamento e Revestimento em Metais
25411;Fabricação de Artigos de Cutelaria
25420;Fabricação de Artigos de Serralheria, Exceto Esquadrias
25438;Fabricação de Ferramentas
25501;Fabricação de Equipamento Bélico Pesado, Armas de Fogo e Munições
25918;Fabricação de Embalagens Metálicas
25926;Fabricação de Produtos de Trefilados de Metal
25934;Fabricação de Artigos de Metal para Uso Doméstico e Pessoal
25993;Fabricação de Produtos de Metal não Especificados Anteriormente
26108;Fabricação de Componentes Eletrônicos
26213;Fabricação de Equipamentos de Informática
26221;Fabricação de Periféricos para Equipamentos de Informática
26311;Fabricação de Equipamentos Transmissores de Comunicação
26329;Fabricação de Aparelhos Telefônicos e de Outros Equipamentos de Comunicação
26400;Fabricação de Aparelhos de Recepção, Reprodução, Gravação e Amplificação de áudio e Vídeo
26515;Fabricação de Aparelhos e Equipamentos de Medida, Teste e Controle
26523;Fabricação de Cronômetros e Relógios
26604;Fabricação de Aparelhos Eletromédicos e Eletroterapêuticos e Equipamentos de Irradiação
26701;Fabricação de Equipamentos e Instrumentos ópticos, Fotográficos e Cinematográficos
26809;Fabricação de Mídias Virgens, Magnéticas e ópticas
27104;Fabricação de Geradores, Transformadores e Motores Elétricos
27210;Fabricação de Pilhas, Baterias e Acumuladores Elétricos, Exceto para Veículos Automotores
27228;Fabricação de Baterias e Acumuladores para Veículos Automotores
27317;Fabricação de Aparelhos e Equipamentos para Distribuição e Controle de Energia Elétrica
27325;Fabricação de Material Elétrico para Instalações em Circuito de Consumo
27333;Fabricação de Fios, Cabos e Condutores Elétricos Isolados
27406;Fabricação de Lâmpadas e Outros Equipamentos de Iluminação
27511;Fabricação de Fogões, Refrigeradores e Máquinas de Lavar e Secar para Uso Doméstico
27597;Fabricação de Aparelhos Eletrodomésticos não Especificados Anteriormente
27902;Fabricação de Equipamentos e Aparelhos Elétricos não Especificados Anteriormente
28119;Fabricação de Motores e Turbinas, Exceto para Aviões e Veículos Rodoviários
28127;Fabricação de Equipamentos Hidráulicos e Pneumáticos, Exceto Válvulas
28135;Fabricação de Válvulas, Registros e Dispositivos Semelhantes
28143;Fabricação de Compressores
28151;Fabricação de Equipamentos de Transmissão para Fins Industriais
28216;Fabricação de Aparelhos e Equipamentos para Instalações Térmicas
28224;Fabricação de Máquinas, Equipamentos e Aparelhos para Transporte e Elevação de Cargas e Pessoas
28232;Fabricação de Máquinas e Aparelhos de Refrigeração e Ventilação para Uso Industrial e Comercial
28241;Fabricação de Aparelhos e Equipamentos de Ar Condicionado
28259;Fabricação de Máquinas e Equipamentos para Saneamento Básico e Ambiental
28291;Fabricação de Máquinas e Equipamentos de Uso Geral não Especificados Anteriormente
28313;Fabricação de Tratores Agrícolas
28321;Fabricação de Equipamentos para Irrigação Agrícola
28330;Fabricação de Máquinas e Equipamentos para a Agricultura e Pecuária, Exceto para Irrigação
28402;Fabricação de Máquinas-Ferramenta
28518;Fabricação de Máquinas e Equipamentos para a Prospecção e Extração de Petróleo
28526;Fabricação de Outras Máquinas e Equipamentos para Uso na Extração Mineral, Exceto na Extração de Petróleo
28534;Fabricação de Tratores, Exceto Agrícolas
28542;Fabricação de Máquinas e Equipamentos para Terraplenagem, Pavimentação e Construção, Exceto Tratores
28615;Fabricação de Máquinas para a Indústria Metalúrgica, Exceto Máquinas-Ferramenta
28623;Fabricação de Máquinas e Equipamentos para as Indústrias de Alimentos, Bebidas e Fumo
28631;Fabricação de Máquinas e Equipamentos para a Indústria Têxtil
28640;Fabricação de Máquinas e Equipamentos para as Indústrias do Vestuário, do Couro e de Calçados
28658;Fabricação de Máquinas e Equipamentos para as Indústrias de Celulose, Papel e Papelão e Artefatos
28666;Fabricação de Máquinas e Equipamentos para a Indústria do Plástico
28691;Fabricação de Máquinas e Equipamentos para Uso Industrial Específico não Especificados Anteriormente
29107;Fabricação de Automóveis, Camionetas e Utilitários
29204;Fabricação de Caminhões e ônibus
29301;Fabricação de Cabines, Carrocerias e Reboques para Veículos Automotores
29417;Fabricação de Peças e Acessórios para O Sistema Motor de Veículos Automotores
29425;Fabricação de Peças e Acessórios para Os Sistemas de Marcha e Transmissão de Veículos Automotores
29433;Fabricação de Peças e Acessórios para O Sistema de Freios de Veículos Automotores
29441;Fabricação de Peças e Acessórios para O Sistema de Direção e Suspensão de Veículos Automotores
29450;Fabricação de Material Elétrico e Eletrônico para Veículos Automotores, Exceto Baterias
29492;Fabricação de Peças e Acessórios para Veículos Automotores não Especificados Anteriormente
29506;Recondicionamento e Recuperação de Motores para Veículos Automotores
30113;Construção de Embarcações e Estruturas Flutuantes
30121;Construção de Embarcações para Esporte e Lazer
30211;Manutenção e Reparação de Embarcações e Estruturas Flutuantes (Desativada)
30229;Manutenção e Reparação de Embarcações para Esporte e Lazer (Desativada)
30318;Fabricação de Locomotivas, Vagões e Outros Materiais Rodantes
30326;Fabricação de Peças e Acessórios para Veículos Ferroviários
30415;Fabricação de Aeronaves
30423;Fabricação de Turbinas, Motores e Outros Componentes e Peças para Aeronaves
30504;Fabricação de Veículos Militares de Combate
30911;Fabricação de Motocicletas
30920;Fabricação de Bicicletas e Triciclos Não-Motorizados
30997;Fabricação de Equipamentos de Transporte não Especificados Anteriormente
31012;Fabricação de Móveis com Predominância de Madeira
31021;Fabricação de Móveis com Predominância de Metal
31039;Fabricação de Móveis de Outros Materiais, Exceto Madeira e Metal
31047;Fabricação de Colchões
32116;Lapidação de Gemas e Fabricação de Artefatos de Ourivesaria e Joalheria
32124;Fabricação de Bijuterias e Artefatos Semelhantes
32205;Fabricação de Instrumentos Musicais
32302;Fabricação de Artefatos para Pesca e Esporte
32400;Fabricação de Brinquedos e Jogos Recreativos
32507;Fabricação de Instrumentos e Materiais para Uso Médico e Odontológico e de Artigos ópticos
32914;Fabricação de Escovas, Pincéis e Vassouras
32922;Fabricação de Equipamentos e Acessórios para Segurança e Proteção Pessoal e Profissional
32990;Fabricação de Produtos Diversos não Especificados Anteriormente
33112;Manutenção e Reparação de Tanques, Reservatórios Metálicos e Caldeiras, Exceto para Veículos
33121;Manutenção e Reparação de Equipamentos Eletrônicos e ópticos
33139;Manutenção e Reparação de Máquinas e Equipamentos Elétricos
33147;Manutenção e Reparação de Máquinas e Equipamentos da Indústria Mecânica
33155;Manutenção e Reparação de Veículos Ferroviários
33163;Manutenção e Reparação de Aeronaves
33171;Manutenção e Reparação de Embarcações
33198;Manutenção e Reparação de Equipamentos e Produtos não Especificados Anteriormente
33210;Instalação de Máquinas e Equipamentos Industriais
33295;Instalação de Equipamentos não Especificados Anteriormente
35115;Geração de Energia Elétrica
35123;Transmissão de Energia Elétrica
35131;Comércio Atacadista de Energia Elétrica
35140;Distribuição de Energia Elétrica
35204;Produção de Gás
35301;Produção e Distribuição de Vapor, água Quente e Ar Condicionado
36006;Captação, Tratamento e Distribuição de água
37011;Gestão de Redes de Esgoto
37029;Atividades Relacionadas a Esgoto, Exceto a Gestão de Redes
38114;Coleta de Resíduos Não-Perigosos
38122;Coleta de Resíduos Perigosos
38211;Tratamento e Disposição de Resíduos Não-Perigosos
38220;Tratamento e Disposição de Resíduos Perigosos
38319;Recuperação de Materiais Metálicos
38327;Recuperação de Materiais Plásticos
38394;Recuperação de Materiais não Especificados Anteriormente
39005;Descontaminação e Outros Serviços de Gestão de Resíduos
41107;Incorporação de Empreendimentos Imobiliários
41204;Construção de Edifícios
42111;Construção de Rodovias e Ferrovias
42120;Construção de Obras de Arte Especiais
42138;Obras de Urbanização - Ruas, Praças e Calçadas
42219;Obras para Geração e Distribuição de Energia Elétrica e para Telecomunicações
42227;Construção de Redes de Abastecimento de água, Coleta de Esgoto e Construções Correlatas
42235;Construção de Redes de Transportes por Dutos, Exceto para água e Esgoto
42910;Obras Portuárias, Marítimas e Fluviais
42928;Montagem de Instalações Industriais e de Estruturas Metálicas
42995;Obras de Engenharia Civil não Especificadas Anteriormente
43118;Demolição e Preparação de Canteiros de Obras
43126;Perfurações e Sondagens
43134;Obras de Terraplenagem
43193;Serviços de Preparação do Terreno não Especificados Anteriormente
43215;Instalações Elétricas
43223;Instalações Hidráulicas, de Sistemas de Ventilação e Refrigeração
43291;Obras de Instalações em Construções não Especificadas Anteriormente
43304;Obras de Acabamento
43916;Obras de Fundações
43991;Serviços Especializados para Construção não Especificados Anteriormente
45111;Comércio a Varejo e por Atacado de Veículos Automotores
45129;Representantes Comerciais e Agentes do Comércio de Veículos Automotores
45200;Manutenção e Reparação de Veículos Automotores
45307;Comércio de Peças e Acessórios para Veículos Automotores
45412;Comércio por Atacado e a Varejo de Motocicletas, Peças e Acessórios
45421;Representantes Comerciais e Agentes do Comércio de Motocicletas, Peças e Acessórios
45439;Manutenção e Reparação de Motocicletas
46117;Representantes Comerciais e Agentes do Comércio de Matérias-Primas Agrícolas e Animais Vivos
46125;Representantes Comerciais e Agentes do Comércio de Combustíveis, Minerais, Produtos Siderúrgicos e Químicos
46133;Representantes Comerciais e Agentes do Comércio de Madeira, Material de Construção e Ferragens
46141;Representantes Comerciais e Agentes do Comércio de Máquinas, Equipamentos, Embarcações e Aeronaves
46150;Representantes Comerciais e Agentes do Comércio de Eletrodomésticos, Móveis e Artigos de Uso Doméstico
46168;Representantes Comerciais e Agentes do Comércio de Têxteis, Vestuário, Calçados e Artigos de Viagem
46176;Representantes Comerciais e Agentes do Comércio de Produtos Alimentícios, Bebidas e Fumo
46184;Representantes Comerciais e Agentes do Comércio Especializado em Produtos não Especificados Anteriormente
46192;Representantes Comerciais e Agentes do Comércio de Mercadorias em Geral não Especializado
46214;Comércio Atacadista de Café em Grão
46222;Comércio Atacadista de Soja
46231;Comércio Atacadista de Animais Vivos, Alimentos para Animais e Matérias-Primas Agrícolas, Exceto Café e Soja
46311;Comércio Atacadista de Leite e Laticínios
46320;Comércio Atacadista de Cereais e Leguminosas Beneficiados, Farinhas, Amidos e Féculas
46338;Comércio Atacadista de Hortifrutigranjeiros
46346;Comércio Atacadista de Carnes, Produtos da Carne e Pescado
46354;Comércio Atacadista de Bebidas
46362;Comércio Atacadista de Produtos do Fumo
46371;Comércio Atacadista Especializado em Produtos Alimentícios não Especificados Anteriormente
46397;Comércio Atacadista de Produtos Alimentícios em Geral
46419;Comércio Atacadista de Tecidos, Artefatos de Tecidos e de Armarinho
46427;Comércio Atacadista de Artigos do Vestuário e Acessórios
46435;Comércio Atacadista de Calçados e Artigos de Viagem
46443;Comércio Atacadista de Produtos Farmacêuticos para Uso Humano e Veterinário
46451;Comércio Atacadista de Instrumentos e Materiais para Uso Médico, Cirúrgico, Ortopédico e Odontológico
46460;Comércio Atacadista de Cosméticos, Produtos de Perfumaria e de Higiene Pessoal
46478;Comércio Atacadista de Artigos de Escritório e de Papelaria
46494;Comércio Atacadista de Equipamentos e Artigos de Uso Pessoal e Doméstico não Especificados Anteriormente
46516;Comércio Atacadista de Computadores, Periféricos e Suprimentos de Informática
46524;Comércio Atacadista de Componentes Eletrônicos e Equipamentos de Telefonia e Comunicação
46613;Comércio Atacadista de Máquinas, Aparelhos e Equipamentos para Uso Agropecuário
46621;Comércio Atacadista de Máquinas, Equipamentos para Terraplenagem, Mineração e Construção
46630;Comércio Atacadista de Máquinas e Equipamentos para Uso Industrial
46648;Comércio Atacadista de Máquinas, Aparelhos e Equipamentos para Uso Odonto-Médico-Hospitalar
46656;Comércio Atacadista de Máquinas e Equipamentos para Uso Comercial
46699;Comércio Atacadista de Máquinas, Aparelhos e Equipamentos não Especificados Anteriormente
46711;Comércio Atacadista de Madeira e Produtos Derivados
46729;Comércio Atacadista de Ferragens e Ferramentas
46737;Comércio Atacadista de Material Elétrico
46745;Comércio Atacadista de Cimento
46796;Comércio Atacadista Especializado de Materiais de Construção não Especificados Anteriormente e de Materiais de Construção em Geral
46818;Comércio Atacadista de Combustíveis Sólidos, Líquidos e Gasosos, Exceto Gás Natural e Glp
46826;Comércio Atacadista de Gás LiqüEfeito de Petróleo (Glp)
46834;Comércio Atacadista de Defensivos Agrícolas, Adubos, Fertilizantes e Corretivos do Solo
46842;Comércio Atacadista de Produtos Químicos e Petroquímicos, Exceto Agroquímicos
46851;Comércio Atacadista de Produtos Siderúrgicos e Metalúrgicos, Exceto para Construção
46869;Comércio Atacadista de Papel e Papelão em Bruto e de Embalagens
46877;Comércio Atacadista de Resíduos e Sucatas
46893;Comércio Atacadista Especializado de Outros Produtos Intermediários não Especificados Anteriormente
46915;Comércio Atacadista de Mercadorias em Geral, com Predominância de Produtos Alimentícios
46923;Comércio Atacadista de Mercadorias em Geral, com Predominância de Insumos Agropecuários
46931;Comércio Atacadista de Mercadorias em Geral, sem Predominância de Alimentos ou de Insumos Agropecuários
47113;Comércio Varejista de Mercadorias em Geral, com Predominância de Produtos Alimentícios - Hipermercados e Supermercados
47121;Comércio Varejista de Mercadorias em Geral, com Predominância de Produtos Alimentícios - Minimercados, Mercearias e Armazéns
47130;Comércio Varejista de Mercadorias em Geral, sem Predominância de Produtos Alimentícios
47211;Comércio Varejista de Produtos de Padaria, Laticínio, Doces, Balas e Semelhantes
47229;Comércio Varejista de Carnes e Pescados - Açougues e Peixarias
47237;Comércio Varejista de Bebidas
47245;Comércio Varejista de Hortifrutigranjeiros
47296;Comércio Varejista de Produtos Alimentícios em Geral ou Especializado em Produtos Alimentícios não Especificados Anteriormente
47318;Comércio Varejista de Combustíveis para Veículos Automotores
47326;Comércio Varejista de Lubrificantes
47415;Comércio Varejista de Tintas e Materiais para Pintura
47423;Comércio Varejista de Material Elétrico
47431;Comércio Varejista de Vidros
47440;Comércio Varejista de Ferragens, Madeira e Materiais de Construção
47512;Comércio Varejista Especializado de Equipamentos e Suprimentos de Informática
47521;Comércio Varejista Especializado de Equipamentos de Telefonia e Comunicação
47539;Comércio Varejista Especializado de Eletrodomésticos e Equipamentos de áudio e Vídeo
47547;Comércio Varejista Especializado de Móveis, Colchoaria e Artigos de Iluminação
47555;Comércio Varejista Especializado de Tecidos e Artigos de Cama, Mesa e Banho
47563;Comércio Varejista Especializado de Instrumentos Musicais e Acessórios
47571;Comércio Varejista Especializado de Peças e Acessórios para Aparelhos Eletroeletrônicos para Uso Doméstico, Exceto Informática e Comunicação
47598;Comércio Varejista de Artigos de Uso Doméstico não Especificados Anteriormente
47610;Comércio Varejista de Livros, Jornais, Revistas e Papelaria
47628;Comércio Varejista de Discos, Cds, Dvds e Fitas
47636;Comércio Varejista de Artigos Recreativos e Esportivos
47717;Comércio Varejista de Produtos Farmacêuticos para Uso Humano e Veterinário
47725;Comércio Varejista de Cosméticos, Produtos de Perfumaria e de Higiene Pessoal
47733;Comércio Varejista de Artigos Médicos e Ortopédicos
47741;Comércio Varejista de Artigos de óptica
47814;Comércio Varejista de Artigos do Vestuário e Acessórios
47822;Comércio Varejista de Calçados e Artigos de Viagem
47831;Comércio Varejista de Jóias e Relógios
47849;Comércio Varejista de Gás LiqüEfeito de Petróleo (Glp)
47857;Comércio Varejista de Artigos Usados
47890;Comércio Varejista de Outros Produtos Novos não Especificados Anteriormente
47903;Comércio Ambulante e Outros Tipos de Comércio Varejista
49116;Transporte Ferroviário de Carga
49124;Transporte Metroferroviário de Passageiros
49213;Transporte Rodoviário Coletivo de Passageiros, com Itinerário Fixo, Municipal e em Região Metropolitana
49221;Transporte Rodoviário Coletivo de Passageiros, com Itinerário Fixo, Intermunicipal, Interestadual e Internacional
49230;Transporte Rodoviário de Táxi
49248;Transporte Escolar
49299;Transporte Rodoviário Coletivo de Passageiros, Sob Regime de Fretamento, e Outros Transportes Rodoviários não Especificados Anteriormente
49302;Transporte Rodoviário de Carga
49400;Transporte Dutoviário
49507;Trens Turísticos, Teleféricos e Similares
50114;Transporte Marítimo de Cabotagem
50122;Transporte Marítimo de Longo Curso
50211;Transporte por Navegação Interior de Carga
50220;Transporte por Navegação Interior de Passageiros em Linhas Regulares
50301;Navegação de Apoio
50912;Transporte por Navegação de Travessia
50998;Transportes Aquaviários não Especificados Anteriormente
51111;Transporte Aéreo de Passageiros Regular
51129;Transporte Aéreo de Passageiros Não-Regular
51200;Transporte Aéreo de Carga
51307;Transporte Espacial
52117;Armazenamento
52125;Carga e Descarga
52214;Concessionárias de Rodovias, Pontes, Túneis e Serviços Relacionados
52222;Terminais Rodoviários e Ferroviários
52231;Estacionamento de Veículos
52290;Atividades Auxiliares dos Transportes Terrestres não Especificadas Anteriormente
52311;Gestão de Portos e Terminais
52320;Atividades de Agenciamento Marítimo
52397;Atividades Auxiliares dos Transportes Aquaviários não Especificadas Anteriormente
52401;Atividades Auxiliares dos Transportes Aéreos
52508;Atividades Relacionadas à Organização do Transporte de Carga
53105;Atividades de Correio
53202;Atividades de Malote e de Entrega
55108;Hotéis e Similares
55906;Outros Tipos de Alojamento não Especificados Anteriormente
56112;Restaurantes e Outros Estabelecimentos de Serviços de Alimentação e Bebidas
56121;Serviços Ambulantes de Alimentação
56201;Serviços de Catering, Bufê e Outros Serviços de Comida Preparada
58115;Edição de Livros
58123;Edição de Jornais
58131;Edição de Revistas
58191;Edição de Cadastros, Listas e de Outros Produtos Gráficos
58212;Edição Integrada à Impressão de Livros
58221;Edição Integrada à Impressão de Jornais
58239;Edição Integrada à Impressão de Revistas
